M,h,BPR,Beta_c,-Ia,TSFC,EINOX,EICO
1.3766568801969385,9008.024525589059,0.10005024191160666,8.999848258570402,-819.8086229302961,0.08452929915967268,59.55895368564218,0.18943822958332895
1.523169752662591,13559.014323018331,0.1001259472753146,3.0001554657226444,-955.8022175529802,0.11118082592469943,33.70182517561679,0.593580453496295
1.5198897542714176,13628.147552670214,0.10000814826331375,3.000019687907226,-956.5359567440686,0.11114957607019638,33.6813241715877,0.5978605967213643
1.300145172864481,11016.618770370565,0.10168515863887181,8.979517696974272,-772.7439580867806,0.0819099142187552,41.70138519830061,0.05122799026948152
1.3001463139766827,13314.51735902046,0.5991236732313117,3.0050199591643016,-698.5722830301355,0.1037563821649346,22.47240561212292,0.1708471241229381
1.5200857449051117,13990.532979960708,0.10000019155291835,3.000732864500918,-956.4957271163205,0.11115351693798263,33.677454871096415,0.6166780124345097
1.3000001195932598,11698.417125571661,0.5987115079406808,8.996953101350549,-628.5385399571979,0.08065592870113128,36.35165362839569,0.06389050560509797
1.5205499417595638,12564.657123483403,0.1000175150791642,3.1038655236406685,-954.1072967341257,0.11008608088307825,34.32206028882584,0.5275421898183063
1.519352822317851,13832.64372007725,0.1000449573887148,3.015378207817104,-956.1149262792412,0.11098433949808482,33.74791040774738,0.6037760306463449
1.3907162503136197,9210.081961343476,0.10029087356532174,8.585441412054921,-826.7669098626935,0.08551860162769383,58.10595124905151,0.1959727111899035
1.3011702652089268,12331.821536466077,0.5861920969594656,3.036272907543547,-702.7836585141486,0.10352437255851199,22.657333773475607,0.15627422500072424
1.4004242505445312,9228.050681738776,0.10205099459492252,3.7827697764220907,-934.9815572600966,0.10439569006113956,38.14454599907406,0.36321009565191614
1.3166315710011163,9490.497157546195,0.1000163249939087,5.162929862001527,-880.0294965440446,0.0948368847819237,39.01992053029973,0.15909494223635887
1.37744777631356,9367.169656543581,0.10000265639575259,7.903932450075101,-834.6810179152451,0.08684764336092622,53.70742767732386,0.1793209278763717
1.5225185494092923,12668.515484491487,0.10001184754210996,3.439397949252591,-945.5155025247818,0.10710738244507578,36.226140044027716,0.4799974779391126
1.3525832502494082,9433.749115805032,0.10016256020816039,6.758053308653656,-852.0909045324696,0.08962173993382136,47.442535186043244,0.16688648035469225
1.3013712030508093,13522.306206808045,0.5611920421488965,8.089527533346207,-648.9468370694865,0.08255066069220736,34.89370991218258,0.07914378077697314
1.5064773974914443,13151.986524573404,0.10155033662260611,3.7885013455015706,-932.2595496387415,0.10416270511733713,37.3317242941157,0.4199326706121604
1.3777356971007422,9066.765791475125,0.10015755150181624,6.5807084720810565,-867.7421607914753,0.09093861645724756,50.48217152111674,0.22857654017062826
1.4390777889281323,13332.735977294456,0.10240801823136957,3.0500336145255145,-929.8308400673628,0.1090706863573838,30.35109629028478,0.34293645103085607
1.3804158540910905,9070.820229998086,0.10006132080031373,5.636809278013752,-890.4176304430423,0.09437737277837584,46.782508862971426,0.25894405087393807
